Q,I,Di
0.0050184,11.399,1.2473
0.0050554,11.198,1.382
0.0050926,6.7729,1.0759
0.0051301,7.1861,0.99078
0.0051679,11.31,1.1341
0.005206,8.1409,1.6668
0.0052444,6.0913,2.0414
0.005283,NaN,NaN
0.005322,7.4624,1.303
0.0053612,6.5975,1.0624
0.0054007,5.6435,0.80194
0.0054405,9.0903,0.7877
0.0054806,7.794,0.94207
0.005521,9.1549,1.0207
0.0055616,7.1772,0.99078
0.0056026,7.8657,1.0365
0.0056439,8.2531,0.96899
0.0056855,9.9496,1.5046
0.0057274,8.128,1.6668
0.0057696,5.7581,0.99195
0.0058121,7.4516,1.1284
0.0058549,5.4168,0.64156
0.0058981,8.135,1.3609
0.0059416,6.435,1.0487
0.0059853,7.5501,0.85854
0.0060294,10.175,1.8635
0.0060739,5.9906,0.56133
0.0061186,5.7551,0.99195
0.0061637,4.4825,0.61924
0.0062091,6.0164,0.67626
0.0062549,6.3625,0.93302
0.006301,2.6889,0.96235
0.0063474,5.9244,0.71166
0.0063942,5.2513,0.94718
0.0064413,7.1108,1.5592
0.0064888,6.0948,1.4435
0.0065366,4.7341,0.49933
0.0065847,6.4321,0.60546
0.0066333,4.6058,0.53574
0.0066821,5.319,0.72093
0.0067314,4.7336,0.80515
0.006781,2.8326,0.62367
0.006831,4.2212,0.85059
0.0068813,4.4731,0.61924
0.006932,3.3707,0.57511
0.0069831,3.6072,0.9073
0.0070345,4.3459,0.65211
0.0070864,4.9452,0.46003
0.0071386,5.2944,0.57368
0.0071912,4.2869,0.98871
0.0072442,4.3098,0.60745
0.0072976,3.7514,0.53463
0.0073513,2.7488,0.39695
0.0074055,3.2811,0.5312
0.0074601,4.0508,0.74543
0.0075151,2.3487,0.9002
0.0075704,4.0582,0.55561
0.0076262,4.2451,0.45596
0.0076824,4.1139,0.50636
0.007739,2.921,0.47218
0.0077961,3.414,0.37121
0.0078535,3.4626,0.58327
0.0079114,2.6975,0.48117
0.0079697,2.24,0.71729
0.0080284,2.6918,0.60864
0.0080876,2.4341,0.35886
0.0081471,3.1328,0.35578
0.0082072,3.8044,0.4871
0.0082677,1.9156,0.30741
0.0083286,3.1252,0.44178
0.00839,3.2572,0.61075
0.0084518,2.3907,0.42771
0.0085141,2.5873,0.37013
0.0085768,2.4965,0.3505
0.00864,2.9696,0.63835
0.0087037,3.4936,0.46705
0.0087678,3.2525,0.36247
0.0088324,2.4704,0.30713
0.0088975,2.9016,0.44622
0.0089631,2.4029,0.3437
0.0090291,2.284,0.39679
0.0090956,2.385,0.38633
0.0091627,2.0144,0.83342
0.0092302,2.2593,0.28652
0.0092982,2.5801,0.27196
0.0093667,2.5659,0.33217
0.0094357,1.6682,0.53798
0.0095053,2.0071,0.2704
0.0095753,2.314,0.42098
0.0096459,1.8772,0.294
0.0097169,2.2951,0.3631
0.0097885,2.1074,0.26325
0.0098607,2.4361,0.3239
0.0099333,2.0134,0.39288
0.010007,2.0672,0.23885
0.01008,2.2642,0.31253
0.010155,1.8745,0.36008
