Q,I,Di
0.0050184,10.781,1.1148
0.0050554,1144.1,12.824
0.0050926,57.323,2.8711
0.0051301,8.2564,0.97571
0.0051679,27.858,1.6346
0.005206,2421.9,26.386
0.0052444,688.75,19.9
0.005283,NaN,NaN
0.005322,8.9881,1.3139
0.0053612,10.461,1.2281
0.0054007,10.326,0.99582
0.0054405,367.53,4.597
0.0054806,776.91,8.6283
0.005521,16.551,1.2604
0.0055616,11.469,1.1499
0.0056026,28.378,1.8072
0.0056439,587.85,7.5055
0.0056855,17.606,1.8382
0.0057274,155.78,6.6925
0.0057696,10.183,1.2111
0.0058121,126.6,4.2663
0.0058549,275.95,4.1988
0.0058981,10.515,1.4213
0.0059416,1180.8,13.028
0.0059853,8.8432,0.85357
0.0060294,11.759,1.8407
0.0060739,9.3514,0.64394
0.0061186,15.93,1.5143
0.0061637,240.3,4.1559
0.0062091,98.99,2.515
0.0062549,590.89,8.2431
0.006301,7.4464,1.4658
0.0063474,7.0179,0.71145
0.0063942,666.77,9.7898
0.0064413,140.26,6.3504
0.0064888,6.2995,1.3484
0.0065366,7.7592,0.58673
0.0065847,129.72,2.4932
0.0066333,69.434,1.9054
0.0066821,364.49,5.4716
0.0067314,9.5189,1.0476
0.006781,12.397,1.195
0.006831,9.1722,1.1499
0.0068813,150.39,3.2879
0.006932,15.825,1.141
0.0069831,131.26,5.0159
0.0070345,213.77,4.1904
0.0070864,5.939,0.46298
0.0071386,161.54,2.9059
0.0071912,12.629,1.5569
0.0072442,7.3066,0.72583
0.0072976,7.5775,0.69688
0.0073513,100.68,2.1966
0.0074055,6.0063,0.65868
0.0074601,265.48,5.5254
0.0075151,6.2965,1.3484
0.0075704,5.4731,0.59242
0.0076262,64.777,1.6314
0.0076824,7.0823,0.60954
0.007739,22.91,1.2104
0.0077961,47.256,1.2645
0.0078535,24.609,1.4226
0.0079114,112.38,2.8422
0.0079697,7.8337,1.2271
0.0080284,3.5392,0.64023
0.0080876,30.582,1.1634
0.0081471,21.891,0.86092
0.0082072,65.778,1.8546
0.0082677,4.6575,0.43848
0.0083286,5.4107,0.53303
0.00839,94.838,3.015
0.0084518,5.9806,0.61937
0.0085141,9.6161,0.65299
0.0085768,36.647,1.2272
0.00864,111.63,3.5831
0.0087037,5.1993,0.52268
0.0087678,3.4583,0.34324
0.0088324,18.665,0.77255
0.0088975,18.032,1.0188
0.0089631,30.654,1.1224
0.0090291,3.9995,0.48103
0.0090956,40.484,1.4551
0.0091627,4.2892,1.1134
0.0092302,4.6323,0.37552
0.0092982,18.015,0.65737
0.0093667,4.6474,0.40971
0.0094357,88.226,3.5616
0.0095053,4.1772,0.35676
0.0095753,28.977,1.3612
0.0096459,4.2308,0.40383
0.0097169,27.62,1.1509
0.0097885,4.8469,0.36527
0.0098607,20.241,0.85338
0.0099333,3.0427,0.4426
0.010007,4.1384,0.3094
0.01008,16.862,0.77903
0.010155,24.754,1.1936
0.010229,3.5675,0.41493
0.010305,13.448,0.69586
0.010381,3.7288,0.35632
0.010457,4.5907,0.31969
0.010534,10.897,0.53431
0.010612,26.779,1.388
0.01069,2.5961,0.30702
0.010769,8.3287,0.56593
0.010848,5.4234,0.38622
0.010928,10.132,0.52734
0.011009,3.5639,0.28724
0.01109,14.568,0.80341
0.011171,2.9591,0.28584
0.011254,11.76,0.61357
0.011337,3.2625,0.36732
0.01142,8.7323,0.47833
0.011504,2.7491,0.23458
0.011589,7.7234,0.44013
0.011675,7.3574,0.47268
0.011761,2.9739,0.30969
0.011847,12.465,0.80804
0.011935,2.3752,0.22211
0.012023,5.9189,0.32688
0.012111,8.3402,0.49039
0.0122,2.6017,0.26826
0.01229,5.2814,0.37235
0.012381,3.3292,0.28345
0.012472,6.5588,0.41486
0.012564,5.28,0.34258
0.012657,2.7419,0.2428
0.01275,3.9405,0.28038
0.012844,4.5748,0.3833
0.012938,5.8106,0.3593
0.013034,5.0741,0.35704
0.01313,2.5757,0.18433
0.013227,3.8931,0.28885
0.013324,5.9936,0.45122
0.013422,2.1905,0.2134
0.013521,4.1422,0.34617
0.013621,2.3166,0.18351
0.013721,4.0932,0.27634
0.013822,3.8831,0.29986
0.013924,2.3711,0.1956
0.014027,4.9326,0.42213
0.01413,3.1373,0.22473
0.014234,2.9413,0.21183
0.014339,2.1332,0.18321
0.014445,3.5731,0.27683
0.014551,4.5062,0.3915
0.014658,1.958,0.15254
0.014766,2.8348,0.21368
0.014875,2.9407,0.2346
0.014985,2.6627,0.22334
0.015095,2.0663,0.1828
0.015206,2.9518,0.22434
0.015319,2.4581,0.18657
0.015431,2.7831,0.18951
0.015545,2.241,0.19575
0.01566,2.5695,0.23521
0.015775,2.0365,0.17003
0.015891,1.9807,0.15041
0.016008,2.5269,0.21411
0.016126,2.2585,0.18593
0.016245,2.1728,0.19281
0.016365,2.219,0.15608
0.016486,2.1469,0.17459
0.016607,1.901,0.14742
0.016729,2.6003,0.22432
0.016853,2.0847,0.16249
0.016977,2.1849,0.15783
0.017102,1.863,0.15359
0.017228,2.5531,0.21196
0.017355,1.5499,0.125
0.017483,2.0463,0.15755
0.017612,1.8288,0.15386
0.017741,1.7352,0.14371
0.017872,2.1403,0.16275
0.018004,1.9071,0.15073
0.018136,1.7258,0.12545
0.01827,1.4238,0.13768
0.018405,2.1218,0.1803
0.01854,1.6983,0.11577
0.018677,2.1444,0.16115
0.018815,1.4773,0.12895
0.018953,1.3572,0.1214
0.019093,1.7187,0.12928
0.019234,1.7348,0.12577
0.019375,1.966,0.14835
0.019518,1.6207,0.13622
0.019662,1.8448,0.11975
0.019807,1.6592,0.12818
0.019953,1.89,0.14699
0.0201,1.6398,0.11868
0.020248,1.8283,0.12255
0.020397,1.8828,0.1331
0.020547,1.5987,0.12799
0.020699,1.5975,0.11716
0.020851,1.5688,0.10771
0.021005,1.4463,0.11975
0.02116,1.3437,0.10762
0.021316,1.6792,0.1093
0.021473,1.4841,0.11645
0.021631,1.8865,0.12441
0.02179,1.6365,0.11441
0.021951,1.5721,0.10392
0.022113,1.6053,0.11747
0.022276,1.5687,0.11441
0.02244,1.6977,0.10112
0.022605,1.8571,0.13213
0.022772,1.4542,0.10185
0.02294,1.7002,0.10383
0.023109,1.5116,0.10322
0.023279,1.488,0.11567
0.02345,1.7475,0.1025
0.023623,1.7166,0.10326
0.023797,1.7408,0.12044
0.023973,1.6205,0.09588
0.024149,1.8413,0.10983
0.024327,1.4019,0.094988
0.024507,1.5656,0.1003
0.024687,1.7159,0.096726
0.024869,1.8278,0.11197
0.025052,1.7049,0.096427
0.025237,1.7755,0.10667
0.025423,1.6456,0.10004
0.02561,1.8278,0.098487
0.025799,1.8106,0.098888
0.025989,1.6519,0.10592
0.026181,1.9022,0.096515
0.026373,1.8202,0.098688
0.026568,1.8124,0.099874
0.026764,1.9067,0.097424
0.026961,1.5635,0.091139
0.027159,1.5685,0.09301
0.02736,2.0937,0.096463
0.027561,1.8788,0.10364
0.027764,1.78,0.087702
0.027969,2.1541,0.1044
0.028175,1.8704,0.093778
0.028383,2.0644,0.099678
0.028592,2.004,0.096266
0.028802,1.8542,0.091565
0.029015,2.3345,0.098125
0.029228,2.0619,0.099198
0.029444,2.0248,0.090805
0.029661,2.1716,0.094997
0.029879,2.0542,0.096659
0.0301,2.4028,0.095849
0.030321,2.3212,0.10518
0.030545,2.1817,0.088521
0.03077,2.3412,0.097237
0.030997,2.0654,0.093355
0.031225,2.2071,0.086894
0.031455,2.3027,0.098154
0.031687,2.407,0.090977
0.03192,2.3549,0.095526
0.032156,2.1997,0.089412
0.032393,2.61,0.094403
0.032631,2.3081,0.092138
0.032872,2.5749,0.092706
0.033114,2.171,0.086722
0.033358,2.6384,0.095206
0.033604,2.5084,0.090231
