Q,I,Di
0.033851,2.5938,0.089753
0.034101,2.5619,0.09766
0.034352,2.4129,0.08231
0.034605,2.9395,0.099268
0.03486,2.5952,0.088588
0.035117,2.8675,0.092121
0.035376,2.5319,0.087072
0.035637,3.2576,0.099936
0.035899,2.6539,0.086486
0.036164,3.0426,0.092103
0.03643,2.6277,0.089624
0.036699,2.9978,0.087128
0.036969,2.6009,0.085626
0.037241,3.2869,0.094563
0.037516,2.7015,0.086416
0.037792,3.0699,0.087797
0.038071,2.8315,0.085077
0.038351,3.1777,0.092571
0.038634,2.9101,0.082669
0.038919,3.3034,0.090831
0.039205,2.8149,0.082512
0.039494,3.4654,0.094034
0.039785,3.0266,0.080779
0.040079,3.0722,0.085805
0.040374,3.1238,0.083141
0.040671,3.1672,0.087645
0.040971,3.2221,0.083314
0.041273,2.8385,0.078838
0.041577,3.3763,0.084648
0.041883,2.8687,0.078956
0.042192,3.2849,0.084921
0.042503,2.9371,0.075997
0.042816,3.2986,0.082048
0.043132,3.3006,0.080122
0.04345,2.9524,0.077658
0.04377,3.2443,0.080236
0.044092,2.9837,0.075711
0.044417,3.1254,0.077209
0.044744,3.0472,0.073623
0.045074,3.0302,0.075049
0.045406,3.1439,0.075713
0.045741,2.8101,0.071058
0.046078,2.9978,0.073147
0.046417,2.9315,0.071254
0.04676,2.6446,0.068517
0.047104,3.0755,0.071282
0.047451,2.8294,0.067434
0.047801,2.488,0.063817
0.048153,2.7254,0.066572
0.048508,2.5342,0.062485
0.048865,2.3666,0.061059
0.049225,2.5906,0.063685
0.049588,2.4095,0.060077
0.049954,2.3262,0.059123
0.050322,2.4892,0.062014
0.050693,2.3835,0.05799
0.051066,2.206,0.056571
0.051442,2.3406,0.057539
0.051821,2.1403,0.054583
0.052203,2.1339,0.054375
0.052588,2.1089,0.053242
0.052975,1.9529,0.051385
0.053366,1.9861,0.05111
0.053759,1.8599,0.049201
0.054155,1.9068,0.049528
0.054554,1.8214,0.046997
0.054956,1.8235,0.047673
0.055361,1.7819,0.046492
0.055769,1.8353,0.047668
0.05618,1.8262,0.046437
0.056594,1.8192,0.046067
0.057011,1.7908,0.045309
0.057431,1.7786,0.045514
0.057854,1.9692,0.046798
0.058281,2.2256,0.049999
0.05871,2.9564,0.056259
0.059143,4.2309,0.067146
0.059579,6.2764,0.081254
0.060018,8.8871,0.095164
0.06046,11.971,0.11012
0.060905,14.34,0.11945
0.061354,15.61,0.12484
0.061806,14.835,0.11996
0.062262,13.121,0.11217
0.062721,11.312,0.10256
0.063183,8.8459,0.091612
0.063648,7.2575,0.081606
0.064117,5.9717,0.072569
0.06459,5.0513,0.066971
0.065066,3.9281,0.058699
0.065545,3.0852,0.052112
0.066028,2.391,0.045718
0.066515,2.0074,0.040702
0.067005,1.762,0.038521
0.067499,1.6084,0.036991
0.067996,1.5293,0.035145
0.068497,1.4538,0.033777
0.069002,1.364,0.03327
0.06951,1.4105,0.03299
0.070023,1.361,0.032167
0.070539,1.3582,0.032384
0.071058,1.3591,0.031608
0.071582,1.3224,0.030974
0.072109,1.3541,0.031574
0.072641,1.3696,0.031226
0.073176,1.3696,0.031095
0.073715,1.3624,0.030775
0.074258,1.3257,0.029854
0.074806,1.3672,0.030542
0.075357,1.3682,0.030183
0.075912,1.4007,0.030331
0.076472,1.3576,0.029261
0.077035,1.4414,0.030469
0.077603,1.4327,0.029985
0.078175,1.4067,0.029375
0.078751,1.4621,0.029828
0.079331,1.4605,0.029613
0.079916,1.4821,0.029659
0.080504,1.5456,0.030225
0.081098,1.5857,0.029682
0.081695,1.691,0.031411
0.082297,1.7271,0.030473
0.082904,1.9006,0.032421
0.083515,2.1132,0.033265
0.08413,2.7416,0.038197
0.08475,3.621,0.043692
0.085374,5.092,0.050887
0.086004,6.3124,0.057005
0.086637,6.792,0.05734
0.087276,6.3284,0.054986
0.087919,5.5392,0.052023
0.088567,4.7034,0.047341
0.089219,4.1912,0.044465
0.089877,3.8142,0.041822
0.090539,3.2097,0.03809
0.091206,2.8204,0.035445
0.091878,2.378,0.032661
0.092555,2.0897,0.030388
0.093237,1.8338,0.02792
0.093924,1.6582,0.026418
0.094616,1.5448,0.025688
0.095314,1.5244,0.025032
0.096016,1.4536,0.024303
0.096724,1.4666,0.024529
0.097436,1.4373,0.024051
0.098154,1.4601,0.023575
0.098878,1.5474,0.024472
0.099606,1.5502,0.024417
0.10034,1.6024,0.024209
0.10108,1.6172,0.024497
0.10182,1.7369,0.02509
0.10257,2.0602,0.026921
0.10333,2.7517,0.031275
0.10409,4.0593,0.03698
0.10486,5.8902,0.044843
0.10563,7.2957,0.04918
0.10641,7.5272,0.049723
0.10719,6.712,0.04695
0.10798,5.6028,0.041832
0.10878,4.6206,0.038563
0.10958,3.8331,0.03417
0.11039,3.2278,0.031718
0.1112,2.7207,0.028418
0.11202,2.3126,0.026611
0.11285,1.9364,0.023641
0.11368,1.7366,0.022618
0.11452,1.5616,0.020903
0.11536,1.3918,0.020005
0.11621,1.329,0.019234
0.11707,1.2588,0.018622
0.11793,1.2407,0.018383
0.1188,1.1917,0.017769
0.11967,1.1461,0.017554
0.12056,1.1017,0.016831
0.12144,1.0831,0.016615
0.12234,1.06,0.016556
0.12324,1.0359,0.015943
0.12415,1.0225,0.01584
0.12506,0.98816,0.015669
0.12598,0.94185,0.014875
0.12691,0.96681,0.015104
0.12785,0.94811,0.014855
0.12879,0.93594,0.014705
0.12974,0.93473,0.014473
0.1307,0.9223,0.014299
0.13166,0.90173,0.014108
0.13263,0.91917,0.014128
0.13361,0.91451,0.013919
0.13459,0.95963,0.014182
0.13558,1.0193,0.014437
0.13658,1.0573,0.014778
0.13759,1.0617,0.014534
0.1386,1.0359,0.014293
0.13962,1.0314,0.014189
0.14065,0.99006,0.013736
0.14169,0.95829,0.013448
0.14273,0.94819,0.013328
0.14378,0.91449,0.012933
0.14484,0.94433,0.013077
0.14591,0.8977,0.012651
0.14699,0.97496,0.013138
0.14807,1.0233,0.013307
0.14916,1.1298,0.013852
0.15026,1.1672,0.013949
0.15137,1.1342,0.013711
0.15248,1.094,0.013315
0.15361,1.068,0.013112
0.15474,1.0267,0.012733
0.15588,1.0115,0.012587
0.15703,1.0056,0.012427
0.15818,1.0233,0.012451
0.15935,1.0872,0.012742
0.16052,1.2365,0.013421
0.16171,1.3077,0.013729
0.1629,1.3216,0.013722
0.1641,1.3064,0.013526
0.16531,1.2032,0.012927
0.16653,1.1676,0.012599
0.16775,1.1184,0.012255
0.16899,1.0878,0.012
0.17023,1.0538,0.011761
0.17149,1.0725,0.011757
0.17275,1.0326,0.011429
0.17403,1.0445,0.011444
0.17531,1.0128,0.011208
0.1766,0.98947,0.010933
0.1779,0.95814,0.010739
0.17921,0.96412,0.010651
0.18053,0.93061,0.01044
0.18186,0.95373,0.010452
0.1832,0.98901,0.010579
0.18455,0.97426,0.010429
0.18591,0.92894,0.010105
0.18728,0.90581,0.0098908
0.18866,0.85727,0.0096171
0.19005,0.81115,0.0092064
0.19145,0.78996,0.0091101
0.19286,0.76685,0.0088592
0.19429,0.71733,0.008528
0.19572,0.69455,0.0083545
