Q;I;Di
0.11071;0.68596;0.018268
0.11113;0.66056;0.017604
0.11156;0.6138;0.016675
0.11199;0.58362;0.016422
0.11241;0.58487;0.016523
0.11284;0.534;0.015788
0.11327;0.52698;0.01552
0.11369;0.44727;0.014151
0.11412;0.43329;0.014073
0.11455;0.3963;0.013553
0.11497;0.35451;0.012767
0.1154;0.34899;0.012464
0.11583;0.2972;0.011507
0.11626;0.2889;0.01134
0.11668;0.27517;0.011187
0.11711;0.23717;0.010206
0.11754;0.24745;0.01041
0.11796;0.21723;0.0097538
0.11839;0.21938;0.0099208
0.11882;0.20546;0.0095178
0.11924;0.22518;0.0098655
0.11967;0.21148;0.0095832
0.1201;0.19133;0.0091109
0.12052;0.22074;0.0098327
0.12095;0.19861;0.0091711
0.12138;0.22018;0.009674
0.1218;0.19329;0.0090516
0.12223;0.19835;0.0093298
0.12266;0.19597;0.0090685
0.12309;0.17719;0.0086151
0.12351;0.17373;0.0085074
0.12394;0.17098;0.0085489
0.12437;0.1941;0.0090501
0.12479;0.19541;0.0089943
0.12522;0.1731;0.0084164
0.12565;0.17748;0.0085488
0.12607;0.17691;0.0086322
0.1265;0.16033;0.0081291
0.12693;0.17133;0.00834
0.12735;0.17068;0.0082987
0.12778;0.18053;0.0086261
0.12821;0.15926;0.0081165
0.12863;0.16876;0.0082055
0.12906;0.16822;0.0081888
0.12949;0.16887;0.0082011
0.12991;0.15564;0.0079528
0.13034;0.16409;0.0081337
0.13077;0.16452;0.0080088
0.1312;0.16576;0.0080593
0.13162;0.15897;0.0079883
0.13205;0.16568;0.0081624
0.13248;0.16127;0.0079261
0.1329;0.16624;0.0080169
0.13333;0.14549;0.007503
0.13376;0.14851;0.0076386
0.13418;0.15725;0.0078235
0.13461;0.14611;0.0074661
0.13504;0.16637;0.0079767
0.13546;0.15746;0.0077765
0.13589;0.15415;0.0077559
0.13632;0.15247;0.0076524
0.13674;0.15487;0.0076114
0.13717;0.15742;0.0077274
0.1376;0.15604;0.0077159
0.13803;0.14374;0.0073933
0.13845;0.14623;0.0072933
0.13888;0.15997;0.0077234
0.13931;0.14098;0.00728
0.13973;0.14565;0.0074424
0.14016;0.14861;0.0073935
0.14059;0.14863;0.0073765
0.14101;0.14218;0.007209
0.14144;0.13933;0.0072435
0.14187;0.15722;0.0076262
0.14229;0.15304;0.0073976
0.14272;0.1405;0.0070963
0.14315;0.13719;0.0070563
0.14357;0.1422;0.0072853
0.144;0.15628;0.0074931
0.14443;0.14224;0.0071209
0.14485;0.1471;0.0072472
0.14528;0.14446;0.007241
0.14571;0.13689;0.0070129
0.14614;0.14728;0.007221
0.14656;0.13449;0.0068453
0.14699;0.14017;0.0069911
0.14742;0.14444;0.0072039
0.14784;0.13029;0.006792
0.14827;0.15412;0.0072978
0.1487;0.14805;0.0072069
0.14912;0.12415;0.0066175
0.14955;0.1377;0.0069375
0.14998;0.1321;0.0067239
0.1504;0.13513;0.0067903
0.15083;0.13765;0.0068995
0.15126;0.14049;0.006981
0.15168;0.13493;0.0067805
0.15211;0.13912;0.0068622
0.15254;0.13646;0.0068316
0.15296;0.15414;0.0072905
0.15339;0.13773;0.0068608
0.15382;0.1364;0.006753
0.15425;0.14426;0.0069248
0.15467;0.1547;0.0072285
0.1551;0.1565;0.0072733
0.15553;0.13596;0.0067226
0.15595;0.1457;0.0069146
0.15638;0.13567;0.0067083
0.15681;0.12698;0.0065662
0.15723;0.12533;0.0064546
0.15766;0.13571;0.0066616
0.15809;0.13464;0.0065935
0.15851;0.13813;0.00674
0.15894;0.13231;0.0066322
0.15937;0.13765;0.0066926
0.15979;0.14346;0.0067403
0.16022;0.13912;0.0067402
0.16065;0.12841;0.0064529
0.16108;0.12465;0.0064031
0.1615;0.13904;0.0066587
0.16193;0.13399;0.0065458
0.16236;0.13643;0.006587
0.16278;0.13305;0.0065547
0.16321;0.13809;0.0066361
0.16364;0.14066;0.0066382
0.16406;0.13825;0.0065834
0.16449;0.13458;0.0065515
0.16492;0.13158;0.0064668
0.16534;0.13327;0.006442
0.16577;0.14178;0.0066761
0.1662;0.13533;0.006496
0.16662;0.14035;0.0066606
0.16705;0.13588;0.0064852
0.16748;0.14044;0.0065624
0.1679;0.13575;0.0064499
0.16833;0.13613;0.006542
0.16876;0.14469;0.006681
0.16919;0.13243;0.0063494
0.16961;0.1339;0.0063763
0.17004;0.13631;0.0064761
0.17047;0.14282;0.0066447
0.17089;0.13837;0.0065012
0.17132;0.12843;0.0061721
0.17175;0.12092;0.0060161
0.17217;0.13523;0.0064251
0.1726;0.12089;0.0060748
0.17303;0.13577;0.0063441
0.17345;0.12326;0.0060507
0.17388;0.13379;0.0063141
0.17431;0.13284;0.0063471
0.17473;0.13248;0.0063015
0.17516;0.11437;0.0057767
0.17559;0.13084;0.0061747
0.17602;0.12559;0.0061356
0.17644;0.131;0.0062101
0.17687;0.11989;0.0059429
0.1773;0.12979;0.0061115
0.17772;0.11971;0.0059121
0.17815;0.11192;0.0057641
0.17858;0.11334;0.005784
0.179;0.11597;0.0057487
0.17943;0.12394;0.0059632
0.17986;0.11892;0.0058945
0.18028;0.11129;0.005672
0.18071;0.11997;0.005847
0.18114;0.10854;0.0055461
0.18156;0.10874;0.0055858
0.18199;0.11339;0.0057272
0.18242;0.11197;0.00567
0.18284;0.11507;0.0056758
0.18327;0.1052;0.0054468
0.1837;0.11039;0.0055967
0.18413;0.10108;0.0053722
